slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
16,90,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,160,42.23,29.18,14.08333333,3.703333333,40,2650,445,3,6.58,513.9,1.3997,4.865,342.6,0.8473,4.703,856.5,0.25,0.005,31.1
17,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,147,42.23,29.18,14.08333333,3.703333333,37,2650,469,3,6.58,509.7,1.3997,4.865,339.8,0.8473,4.703,849.5,0.25,0.005,28
18,113,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,201,42.23,29.18,14.08333333,3.703333333,50,2650,543,3,6.58,675.9,1.3986,4.865,826.1,0,0,0,0.35,0.005,28.8
19,115,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,184,42.23,29.18,14.08333333,3.703333333,46,2650,567,3,6.58,671.4,1.3986,4.865,820.6,0,0,0,0.35,0.005,24.8
20,115,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,184,42.23,29.18,14.08333333,3.703333333,46,2650,588,3,6.58,661.95,1.3986,4.865,809.05,0,0,0,0.35,0.005,24.2
21,117,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,170,42.23,29.18,14.08333333,3.703333333,43,2650,611,3,6.58,656.1,1.3986,4.865,801.9,0,0,0,0.35,0.005,19.7
22,119,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,158,42.23,29.18,14.08333333,3.703333333,40,2650,634,3,6.58,649.35,1.3986,4.865,793.65,0,0,0,0.35,0.005,18.3
23,90,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,200,0,0,0,0,0,2650,521,3,6.58,494.7,1.3997,4.865,329.8,0.8402,4.703,824.5,0.5,0.001,38
24,91,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,182,0,0,0,0,0,2650,547,3,6.58,492,1.3997,4.865,328,0.8402,4.764,820,0.5,0.001,35.9
25,91,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,162,42.23,29.18,14.08333333,3.703333333,40,2650,318,3,6.58,491.7,1.3997,4.865,327.8,0.8402,4.764,819.5,0.5,0.0015,36.7
26,92,52.62,21.19,3.91,17.54,41.23333333,58.8,5.853333333,6.97,8.63,199,244,273,147,42.23,29.18,14.08333333,3.703333333,37,2650,543,3,6.58,489.3,1.3997,4.865,326.2,0.8402,4.787,815.5,0.5,0.0015,29.4
