slide_id,水用量（kg/m3）,水泥矿物组分_C3S（%）,水泥矿物组分_C2S（%）,水泥矿物组分_C3A（%）,水泥矿物组分_C4AF（%）,胶砂抗压_7d（MPa）,胶砂抗压_28d（MPa）,胶砂抗折3d（MPa）,胶砂抗折7d（MPa）,胶砂抗折_28d（MPa）,水化热_1d（J/g）,水化热_3d（J/g）,水化热_7d（J/g）,水泥用量（kg/m3）,FA化学组分_SiO2（%）,FA化学组分_Al2O3（%）,FA化学组分_Fe2O3（%）,FA化学组分_CaO（%）,粉煤灰用量（kg/m3）,砂表观密度（kg/m3）,砂用量（kg/m3）,石1坚固性（%）,石1压碎指标（%）,石1用量（kg/m3）,石2坚固性（%）,石2压碎指标（%）,石2用量（kg/m3）,石3坚固性（%）,石3压碎指标（%）,石3用量（kg/m3）,外加剂1用量（%）,外加剂2用量（%）,28d抗压强度
53,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,456.0,0.0,0.0,0.0,0.0,0.0,2650,565.0,0.004346,0.06704,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,7.000000000000001e-05,34.5
54,147.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,351.0,0.43770000000000003,0.2737,0.172,0.0409,39.0,2650,586.0,0.004346,0.06704,1245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6e-05,28.2
55,144.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,325.5,0.43770000000000003,0.2737,0.172,0.0409,57.0,2650,587.0,0.004346,0.06704,1251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6e-05,27.8
56,146.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,312.0,0.43770000000000003,0.2737,0.172,0.0409,35.0,2650,599.0,0.004346,0.06704,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6e-05,24.8
57,145.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,414.4,0.0,0.0,0.0,0.0,0.0,2650,621.7,0.004346,0.06704,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3e-05,48.6
58,145.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,373.0,0.43770000000000003,0.2737,0.172,0.0409,41.5,2650,609.0,0.004346,0.06704,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.3e-05,48.5
59,146.5,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,334.8,0.43770000000000003,0.2737,0.172,0.0409,83.6,2650,593.8,0.004346,0.06704,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4.3e-05,47.6
60,148.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,296.0,0.43770000000000003,0.2737,0.172,0.0409,126.7,2650,587.1,0.004346,0.06704,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6.5e-05,39.5
61,146.5,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,325.5,0.0,0.0,0.0,0.0,0.0,2650,683.5,0.004346,0.06704,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.5000000000000004e-05,33.4
62,146.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,292.0,0.43770000000000003,0.2737,0.172,0.0409,32.4,2650,667.2,0.004346,0.06704,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.3e-05,34.0
63,146.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,259.6,0.43770000000000003,0.2737,0.172,0.0409,64.8,2650,664.0,0.004346,0.06704,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4.4999999999999996e-05,33.1
64,146.5,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,227.7,0.43770000000000003,0.2737,0.172,0.0409,97.7,2650,655.3,0.004346,0.06704,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6e-05,28.1
65,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,271.0,0.0,0.0,0.0,0.0,0.0,2650,736.2,0.004346,0.06704,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4e-05,25.1
66,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,244.1,0.43770000000000003,0.2737,0.172,0.0409,27.0,2650,719.0,0.004346,0.06704,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,3.8e-05,25.1
67,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,216.7,0.43770000000000003,0.2737,0.172,0.0409,54.4,2650,711.8,0.004346,0.06704,1220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4.3e-05,24.9
68,149.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,189.7,0.43770000000000003,0.2737,0.172,0.0409,81.4,2650,708.9,0.004346,0.06704,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,6e-05,21.6
69,150.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,230.9,0.0,0.0,0.0,0.0,0.0,2650,778.0,0.004346,0.06704,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4e-05,20.5
70,150.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,207.7,0.43770000000000003,0.2737,0.172,0.0409,23.0,2650,755.0,0.004346,0.06704,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4.3e-05,20.0
71,150.0,0.5438000000000001,0.1975,0.0191,0.1696,37.3,59.4,5.1,6.5,8.7,177.19,227.0,262.0,184.7,0.43770000000000003,0.2737,0.172,0.0409,45.9,2650,748.3,0.004346,0.06704,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,4.7000000000000004e-05,19.2
